Domain,Model,TrainAccuracy,TestAccuracy,TrainF1Weighted,TestF1Weighted,TrainError,TestError,BestCVScoreAccuracy,BestParams,ModelPath
child,RandomForest,0.8389788905252823,0.7970588235294118,0.8664384603957241,0.837737109102331,0.1610211094747177,0.20294117647058818,0.8237450016861783,"{'model__class_weight': None, 'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 200}",src/results/models/child/RandomForest.pkl
child,XGBoost,0.8379970544918999,0.7926470588235294,0.8652593611607944,0.8343759895766316,0.16200294550810013,0.20735294117647063,0.824725393843041,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 5, 'model__n_estimators': 200, 'model__subsample': 0.8}",src/results/models/child/XGBoost.pkl
child,DecisionTree,0.8262150220913107,0.788235294117647,0.8582759494268662,0.8338919074255899,0.1737849779086893,0.21176470588235297,0.815891024714554,"{'model__class_weight': None, 'model__max_depth': 8, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2}",src/results/models/child/DecisionTree.pkl
child,SVM,0.8159057437407953,0.7838235294117647,0.8539665507843295,0.8298335007916209,0.18409425625920472,0.2161764705882353,0.8001830707713061,"{'model__C': 5, 'model__class_weight': None, 'model__gamma': 'scale', 'model__kernel': 'rbf'}",src/results/models/child/SVM.pkl
food,XGBoost,0.6681394207167403,0.5852941176470589,0.6277439761065565,0.5362830940242168,0.33186057928325974,0.41470588235294115,0.6101989690224985,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 200, 'model__subsample': 1.0}",src/results/models/food/XGBoost.pkl
food,RandomForest,0.6288659793814433,0.5544117647058824,0.6271504750046168,0.5551912555072083,0.3711340206185567,0.4455882352941176,0.5802416052416053,"{'model__class_weight': None, 'model__max_depth': 5, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 200}",src/results/models/food/RandomForest.pkl
food,SVM,0.8203240058910162,0.525,0.8224954605702608,0.5312817048148881,0.17967599410898383,0.475,0.5439405983523631,"{'model__C': 3, 'model__class_weight': None, 'model__gamma': 'scale', 'model__kernel': 'rbf'}",src/results/models/food/SVM.pkl
food,DecisionTree,0.5891016200294551,0.5220588235294118,0.5947228111513735,0.5256479140348566,0.4108983799705449,0.4779411764705882,0.5375451654863419,"{'model__class_weight': None, 'model__max_depth': 5, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2}",src/results/models/food/DecisionTree.pkl
fuel,XGBoost,0.7152675503190967,0.6823529411764706,0.7057017419066283,0.6583720172396336,0.2847324496809033,0.3176470588235294,0.6872922387628271,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 200, 'model__subsample': 0.8}",src/results/models/fuel/XGBoost.pkl
fuel,RandomForest,0.6956308296514482,0.6794117647058824,0.6952886805721377,0.6681517449046686,0.3043691703485518,0.3205882352941176,0.6696198872669461,"{'model__class_weight': None, 'model__max_depth': 5, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 200}",src/results/models/fuel/RandomForest.pkl
fuel,DecisionTree,0.6892488954344624,0.6647058823529411,0.680307255446659,0.6467857783590327,0.31075110456553756,0.33529411764705885,0.6382160235101412,"{'model__class_weight': None, 'model__max_depth': 5, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2}",src/results/models/fuel/DecisionTree.pkl
fuel,SVM,0.7206676485027,0.6338235294117647,0.7281626175624016,0.6401293174450725,0.27933235149729996,0.3661764705882353,0.627908657320422,"{'model__C': 5, 'model__class_weight': None, 'model__gamma': 'scale', 'model__kernel': 'rbf'}",src/results/models/fuel/SVM.pkl
